date,school_id,enrolled,eligible,normal_prep,weekday,month,week_of_year,is_exam,trip_students,early_dismissal,assembly_students,sports_students,rain_probability,rain_inches,temperature_f,menu_name,menu_popularity,actual_attendance,recent_attendance_7d,recent_attendance_14d,expected_attendance,prepared_meals,served_meals,recoverable_surplus,nonrecoverable_surplus
2023-08-21,lhphs,820,760,730,Monday,8,34,0,0,0,0,0,0.24825272176294838,0.0,82.96655556345512,Chicken & rice,1.061,724,704.0,702.0,703,730,712,12,6
2023-08-22,lhphs,820,760,730,Tuesday,8,34,0,0,0,0,0,0.15376695682212713,0.0,77.51017113988179,Turkey sandwich,0.985,700,724.0,724.0,724,730,688,34,8
2023-08-23,lhphs,820,760,730,Wednesday,8,34,0,0,0,0,0,0.7348939451771536,1.1155725015004292,69.68334214120985,Veggie pasta,0.955,682,712.0,712.0,712,730,671,40,19
2023-08-24,lhphs,820,760,730,Thursday,8,34,0,0,0,0,0,0.4362925659765314,0.0,74.18232469544375,Beef chili,1.015,725,702.0,702.0,702,730,713,12,5
2023-08-25,lhphs,820,760,730,Friday,8,34,0,0,0,0,0,0.1951905458792817,0.0,78.96588060403167,Cheese pizza,1.075,692,707.75,707.75,708,730,681,40,9
2023-08-28,lhphs,820,760,730,Monday,8,35,0,0,0,0,0,0.4212012413508598,0.0,68.60537639114189,Grain bowl,0.945,695,704.6,704.6,705,730,686,30,14
2023-08-29,lhphs,820,760,730,Tuesday,8,35,0,0,0,0,0,0.19426888671896025,0.0,74.16399139001659,Chicken & rice,1.061,727,698.8,703.0,701,730,718,8,4
2023-08-30,lhphs,820,760,730,Wednesday,8,35,0,0,0,0,0,0.30352767905943157,0.0,70.03176257802153,Turkey sandwich,0.985,681,704.2,706.4285714285714,705,730,670,49,11
2023-08-31,lhphs,820,760,730,Thursday,8,35,0,0,0,0,0,0.5544046045866359,1.5623748781184328,74.83900106746552,Veggie pasta,0.955,680,704.0,703.25,704,730,667,43,20
2023-09-01,lhphs,820,760,730,Friday,9,35,0,0,0,0,0,0.5370624147220191,0.0,51.06403669194711,Beef chili,1.015,692,695.0,700.6666666666666,697,730,681,33,16
2023-09-04,lhphs,820,760,730,Monday,9,36,0,0,0,68,0,0.1892057223786614,0.0,69.4045470114013,Cheese pizza,1.075,721,695.0,699.8,697,730,710,16,4
2023-09-05,lhphs,820,760,730,Tuesday,9,36,0,0,0,0,15,0.5569045026581609,1.0655929472635035,62.582312173348775,Grain bowl,0.945,683,700.2,699.5,700,730,678,35,17
2023-09-06,lhphs,820,760,730,Wednesday,9,36,0,0,0,0,0,0.3699168898487766,0.0,66.85658879758614,Chicken & rice,1.061,720,691.4,697.8,694,730,714,11,5
2023-09-07,lhphs,820,760,730,Thursday,9,36,0,101,0,0,0,0.4689542651984017,0.0,63.72557500448074,Turkey sandwich,0.985,611,699.2,701.6,700,730,606,102,22
2023-09-08,lhphs,820,760,730,Friday,9,36,0,0,0,0,0,0.443902897678888,0.0,67.3579106347416,Veggie pasta,0.955,683,685.4,690.2,687,730,677,36,17
2023-09-11,lhphs,820,760,730,Monday,9,37,1,0,0,0,0,0.6187238539521723,1.0522835499793974,60.3878586096408,Beef chili,1.015,661,683.6,689.3,686,730,656,50,24
2023-09-12,lhphs,820,760,730,Tuesday,9,37,0,0,0,0,0,0.7411221543341849,1.0052708898171463,68.01540981327062,Cheese pizza,1.075,700,671.6,685.9,678,730,692,31,7
2023-09-13,lhphs,820,760,730,Wednesday,9,37,0,0,0,0,0,0.28165016434946255,0.0,71.17313628628185,Grain bowl,0.945,682,675.0,683.2,678,730,674,38,18
2023-09-14,lhphs,820,760,730,Thursday,9,37,0,69,0,0,0,0.23184093706357214,0.0,66.99956364128462,Chicken & rice,1.061,660,667.4,683.3,674,730,651,54,25
2023-09-15,lhphs,820,760,730,Friday,9,37,0,0,0,0,0,0.5551037273127961,0.10847770310046463,64.49731141649178,Turkey sandwich,0.985,685,677.2,681.3,679,730,672,48,10
